user,played count in mode1,best score in mode1,average time played in mode1,played count in mode2,total wins in mode2,hints,highest streak
thiti,2,0,31.81,1,1,0,0
palyer2,2,5,52.06,1,0,1,0
omgy,3,4,51.27,0,0,1,0
helo,2,1,22.08,0,0,0,1
heelo,2,0,10.24,0,0,0,0
majar,2,1,26.57,0,0,2,1
testrabob,1,2,55.12,0,0,2,2
mong,0,0,0,1,0,1,0
mooham,2,2,49.48,0,0,0,1
eldlke,1,5,61.8,1,0,1,4
omgsotird,2,2,49.62,1,0,2,2
hamja,2,4,38.59,1,1,3,3
kuromi,2,5,70.76,1,1,1,3
myme,1,1,43.45,1,0,2,1
chiki,1,0,59.32,1,0,1,0
welcome,1,1,45.12,0,0,0,1
so_cool,1,5,36.29,1,0,3,4
eng4,1,6,86.39,0,0,2,4
rubycrush,1,2,53.51,1,1,0,1
wish,2,3,56.05,1,1,0,2
vince,1,7,94.37,0,0,2,4
aom,1,2,40.63,1,0,0,1
aonggie,1,3,58.37,2,0,1,2
fong,1,1,63.25,1,0,1,1
patty,1,8,100.23,1,1,0,5
zing,1,5,75.93,1,1,0,2
guzzy,1,3,83.59,1,0,2,2
men,1,0,34.89,1,0,1,0
khawedee,1,9,68.29,1,0,1,5
daisy,1,0,27.38,1,1,2,0
help,1,3,43.12,1,0,4,3
mamakom,1,0,23.7,1,0,2,0
skibi,2,3,55.32,2,1,2,2
ipadkid,1,2,39.28,2,0,1,1
ic,2,3,62.29,1,0,2,2
baggyjeans,1,5,57.44,1,1,0,3
dry,2,3,52.0,1,0,1,2
unicornjra,1,2,34.94,2,2,0,2
beer,1,0,27.42,1,0,1,0
tallyjung,1,7,96.28,1,0,1,4
yelly,1,2,32.55,2,0,0,1
suri,1,3,67.39,1,0,0,2
japan,1,6,48.2,1,1,0,4
guess,2,4,32.94,1,0,1,2
sunnie,1,3,61.27,2,1,1,1
dengdong,0,0,0,2,0,0,0
kidturng,1,2,45.12,1,0,0,2
tjay,2,5,58.51,1,1,1,4
salmon,1,4,84.05,0,0,2,3
chor20,1,4,74.6,1,1,2,2
2,0,0,0,1,0,0,0
abouta,1,2,43.12,1,0,0,2
gai,1,3,57.25,1,1,0,3
mai,1,6,72.45,0,0,0,3
thana,1,4,42.4,1,0,0,2